question_id,question_text,option_A,option_B,option_C,option_D,key_answer,Level
226,"After the team of geologists had drawn diagrams in their notebooks and wrote explanations of the formations which they had observed, they returned to their campsite to compare notes.",their,wrote,which,to compare,wrote,Level 1
227,"If Robert Kennedy would have lived a little longer, he probably would have won the election.",would have lived,a little longer,probably,won,would have lived,Level 2
228,It was Shirley Temple Black which represented her country in the United Nations and later became an ambassador.,It,which,represented,later,which,Level 1
229,"The prices at chain stores are as reasonable, if not more reasonable, as those at discount stores.",at,are,if not more,as,as,Level 3
230,It is extremely important for an engineer to know to use a computer.,It is,extremely,for,to know,to know,Level 2
231,Historically there has been only two major factions in the Republican Party-the liberals and the conservatives.,Historically,there,has been,only,has been,Level 1
232,Whitman wrote Leaves of Grass as a tribute to the Civil War soldiers who had laid on the battlefields and whom he had seen while serving as an army nurse.,had laid,whom,had seen,while serving,had laid,Level 2
233,One of the first and ultimately the most important purposeful of a reservoir is to control flooding.,ultimately,purposeful,to control,flooding,purposeful,Level 1
234,The range of plant life on a mountainside is a results of differences in temperature and precipitation at varying altitudes.,is,results,differences,varying,results,Level 1
235,"The more the relative humidity reading rises, the worst the heat affects us.",rises,the worst,affects,us,the worst,Level 1
236,"Because correlations are not causes, statistical data which are extremely easy to misuse",causes,which are,extremely,to misuse,which are,Level 2
237,"Lectures for the week of March 22-26 will include the following: The Causes of the Civil War, The Economy of the South, Battle Strategies, and The Assassinate Lincoln.",for,will include,following,The Assassinate,The Assassinate,Level 1
238,"Despite of many attempts to introduce a universal language, notably Esperanto and Idiom Neutral, the effort has met with very little success.",Despite of,many,to introduce,little,Despite of,Level 2
239,"As every other nation, the United States used to define its unit of currency, the dollar, in terms of the gold standard.",As,other,used to define,its,As,Level 2
240,It is necessary that one met with a judge before signing the final papers for a divorce.,met,before signing,the final papers,for a divorce,met,Level 2
241,"Until recently, women were forbidden by law from owning property.",Until recently,were,by law,from owning,from owning,Level 2
242,John Dewey thought that children will learn better through participating in experiences rather than through listening to lectures.,will learn,better,rather than,listening to,will learn,Level 2
243,"In England as early as the twelfth century, young boys enjoyed to play football.",In England,as early as,twelfth century,to play,to play,Level 2
244,"Some methods to prevent soil erosion are plowing parallel with the slopes of hills, to plant trees on unproductive land, and rotating crops.",Some,to prevent,are,to plant,to plant,Level 2
245,Mosquitoes will accepts the malaria parasite at only one stage of the parasite's complex life cycle.,accepts,malaria,only one,complex,accepts,Level 2
246,The counterpart of a negative electrons is the positive proton.,counterpart,of,electrons,positive,electrons,Level 1
247,The ankle joint occur where the lower ends of the tibia and fibula slot neatly around the talus.,occur,lower,neatly,around,occur,Level 2
248,"In the United States and Canada, motor vehicle laws affect the operate of motorcylces as well as automobiles.",motor vehicle,affect,operate,as well as,operate,Level 2
249,"There are more than eighty-four million specimens in the National Museum of Natural History's collection of biological, geological, archeological, and anthropology treasures.",are,specimens,collection,anthropology,anthropology,Level 1
250,"After George Washington married widow Martha Custis, the couple came to resides at Mount Vernon.",After,widow,came,resides,resides,Level 1
251,"At this stage in their development, rubberized asphalt can hardly be classified as cutting edge.",their,rubberized,hardly,as,their,Level 2
252,"Fort Jefferson, in the Dry Tortugas off the southern tip of Florida, can be reach only by boat or plane.",off,tip,reach,only by,reach,Level 2
253,"A zoom lens produces an inverted real image, either on the film in a camera and on the light-sensitive tube of a television camera.",A,produces,inverted,and,and,Level 1
254,The Betataken House Ruins at Navajo National Monument is among the largest and most elaborate cliff dwellings in the country.,is,largest,elaborate,country,is,Level 1
255,"The number of wild horses on Assateague are increasing lately, resulting in overgrazed marsh and dune grasses.",wild horses,are,resulting,overgrazed,are,Level 2
256,"The newsreel of Hearst Metronome News, which formed part of every moviegoer's experience in the era before television, offer an unique record of the events of the 1930s.",every,before television,an,events,an,Level 1
257,"Born in Massachusetts in 1852, Albert Farbanks has begun making banjos in Boston in the late 1870s.",Born,has begun,making,the late,has begun,Level 2
258,"Dwight David Eisenhower, military officer and thirty-fourth president of the United States, lived in the White House and of least thirty-seven other residences.",officer,lived,of least,other,of least,Level 2
259,Methane in wetlands comes from soil bacteria that consumes organic plant matter.,comes,from,consumes,matter,consumes,Level 1
260,Alois Alzheimer made the first observers of the telltale signs of the disease that today bears his name.,observers,telltale signs,bears,his name,observers,Level 1
261,"Edward MacDowell remembers as the composer of such perennial favorites as ""To a Wild Rose"" and ""To a water Lily"".",remembers,composer,perennial,favorites,remembers,Level 2
262,Newtonian physics accounts for the observing orbits of the planets and the moons.,accounts,for,observing,orbits,observing,Level 2
263,The high demand for resources such as oil has led to an increase in global conflicts over supply.,The high demand,such as oil,to an increase,global conflicts over supply,to an increase,Level 2
264,"Space exploration has advanced significantly in the past few decades, allowing humans to send robots to explore distant planets and moons.",Space exploration has advanced,the past few decades,to send robots,planets and moons,to send robots,Level 2
265,"The telescope allows astronomers to observe distant objects in space, including stars, planets, and galaxies, that would otherwise be invisible to the naked eye.",The telescope allows astronomers,distant objects in space,"planets, and galaxies",be invisible to the naked eye,"planets , and galaxies",Level 3
266,"The human brain is capable of remarkable feats of memory, creativity, and problem-solving skills, which continue to fascinate scientists.",The human brain,feats of memory,and problem-solving skills,to fascinate scientists,and problem - solving skills,Level 3
267,"The Amazon rainforest, often referred to as the lungs of the Earth, is home to an incredible diversity of species and plays a vital role in regulating the planet's climate.","The Amazon rainforest, often",as the lungs of the Earth,to an incredible diversity,plays a vital role,plays a vital role,Level 3
268,The teacher told the students to carefully to follow the instructions given on the board.,The teacher told,to carefully to follow,the instructions given,on the board,to carefully to follow,Level 2
269,He decided to help his brother fixing the bike before going to the market.,He,decided to help,his brother fixing the bike,before going to the market,his brother fixing the bike,Level 2
270,The goal of this exercise is to helps students understand the importance of teamwork.,The goal of this exercise,is,to helps students understand,the importance of teamwork,to helps students understand,Level 3
271,"By the time you arrived, we have already started eating dinner without you.",By the time you arrived,we have already,started eating dinner,without you,we have already,Level 2
272,He has forgot his homework at home again despite the repeated reminders from the teacher.,He has forgot,his homework at home,despite the repeated reminders,from the teacher,He has forgot,Level 2
273,"They have finish the project well before the deadline, surprising everyone with their efficiency.",They have finish the project,well before the deadline,surprising everyone with,their efficiency,They have finish the project,Level 3
274,"The team claimed they have completed the task, but no evidence was provided to prove it.",The team claimed they have,completed the task,but no evidence,was provided to prove it,The team claimed they have,Level 3
275,"If he has took the correct route, he would have reached his destination by now.",If he has took,the correct route,he would have reached,his destination by now,If he has took,Level 3
276,"To be successful, it is important to always keep practicing and to improving your skills regularly.",To be successful,to always keep practicing,to improving your skills,regularly,to improving your skills,Level 3
277,"They tried to persuade him to joining the workshop, but he refused their offer.",They tried to persuade,him to joining,the workshop,but he refused their offer,him to joining,Level 3
278,It's difficult to understand the concept without to discuss it with someone else.,It's difficult,to understand the concept,without to discuss it,with someone else,without to discuss it,Level 3
279,She has been preparing for months to ensures she passes the exam.,She has,been preparing,for months to ensures,she passes the exam,for months to ensures,Level 2
280,The best way to stay healthy is to exercising daily and eat a balanced diet.,The best way,to stay healthy,to exercising daily,and eat a balanced diet,to exercising daily,Level 3
281,He decided not to interfere but instead to observes the process quietly.,He decided not,to interfere,but instead to observes,the process quietly,but instead to observes,Level 2
282,Her ambition is to becomes a renowned artist in the future.,Her,ambition is,to becomes a renowned artist,in the future,to becomes a renowned artist,Level 3
283,He advised us to not taking shortcuts when learning complex topics.,He advised,us to not,taking shortcuts,when learning complex topics,taking shortcuts,Level 2
284,The government aims to reduce pollution and to promotes renewable energy sources.,The government,aims,to reduce pollution,to promotes renewable energy sources,to promotes renewable energy sources,Level 3
285,You should always strive to achieve your goals and to helping others along the way.,You should always strive,to achieve your goals,and to helping others,along the way,and to helping others,Level 3
286,She has not spoke to her friend since their argument last month.,She has not spoke,to her friend,since their argument,last month,She has not spoke,Level 2
287,"By the time we arrived, the organizers have already left the venue.",By the time,we arrived,the organizers have,already left the venue,the organizers have,Level 2
288,He has went to the library several times but still cannot find the book he needs.,He has went to the library,several times,but still cannot find,the book he needs,He has went to the library,Level 3
289,I would have went to the party if I had known about it earlier.,I would have went,to the party,if I had known,about it earlier,I would have went,Level 2
290,"He claims to have completed the work, but the task remains unfinished.",He claims to have,completed the work,but the task remains,unfinished,but the task remains,Level 2
291,They had knew about the problem long before it was announced.,They had knew,about the problem,long before,it was announced,They had knew,Level 2
292,We have not spoke about this issue since the last meeting.,We have not spoke,about this issue,since the,last meeting,We have not spoke,Level 2
293,"She has wrote many books, but only a few have been published.",She has wrote,many books,but only a few,have been published,She has wrote,Level 2
294,"Had you knew about the plan, you could have avoided the issue.",Had you knew about,"the plan, you",could have avoided,the issue,Had you knew about,Level 3
295,"If he has ate breakfast, he wouldn’t be feeling hungry now.",If he has ate,"breakfast, he",wouldn’t be feeling,hungry now,If he has ate,Level 3
296,She plans to quickly finish her work so that to attend the meeting on time.,She plans to quickly,finish her work,to attend the meeting,on time,to attend the meeting,Level 2
297,It is important to not waste your time on activities that are not productive.,It is important,to not waste your time,on activities that,are not productive,to not waste your time,Level 2
299,She has went to the market early in the morning to buy fresh vegetables.,She has went,to the market early,in the morning,to buy fresh vegetables,She has went,Level 2
300,The students have finish their assignments before the deadline to earn extra points.,The students have finish,their assignments,before the deadline,to earn extra points,The students have finish,Level 3
301,"By the time the teacher arrived, the class have already started their presentation.",By the time,the teacher arrived,the class have already,started their presentation,the class have already,Level 2
302,"If he has ate breakfast, he would not feel so hungry right now.",If he has ate,"breakfast, he",would not feel so hungry,right now,If he has ate,Level 3
303,I would have went to the meeting if I had known about it earlier.,I would have went,to the meeting,if I had known,about it earlier,I would have went,Level 2
304,"The new car is more faster than the older model, making it a popular choice.",The new car is more faster,than the older model,making it,a popular choice,The new car is more faster,Level 2
305,This is the most happiest day of my life because of the surprise party.,This is the most happiest day,of my life,because of,the surprise party,This is the most happiest day,Level 3
306,"Among all the contestants, she was the most smarter and confident.",Among all the contestants,she was,the most smarter,and confident,the most smarter,Level 2
307,The painting looks more beautifuler when it is viewed under natural light.,The painting looks,more beautifuler,when it is viewed,under natural light,more beautifuler,Level 2
308,The weather is becoming more colder as winter approaches the region.,The weather is becoming more colder,as winter,approaches,the region,The weather is becoming more colder,Level 2
309,"By the time the guests arrived, the host have already prepared everything for the dinner party.",By the time the guests arrived,the host have already,prepared everything,for the dinner party,the host have already,Level 2
310,The more prettier flowers in the garden are often admired by visitors during spring.,The more prettier flowers,in the garden are,often admired,by visitors,The more prettier flowers,Level 2
