question_text,A,B,C,D,key_answer
John Dewey thought that children will learn better through participating in experiences rather than through listening to lectures.,will learn,better,rather than,listening to,A
"In England as early as the twelfth century, young boys enjoyed to play football.",In England,as early as,twelfth century,to play,D
"Some methods to prevent soil erosion are plowing parallel with the slopes of hills, to plant trees on unproductive land, and rotating crops.",Some,to prevent,are,to plant,D
Mosquitoes will accepts the malaria parasite at only one stage of the parasite's complex life cycle.,accepts,malaria,only one,complex,A
The counterpart of a negative electrons is the positive proton.,counterpart,of,electrons,positive,C
The ankle joint occur where the lower ends of the tibia and fibula slot neatly around the talus.,occur,lower,neatly,around,A
"In the United States and Canada, motor vehicle laws affect the operate of motorcylces as well as automobiles.",motor vehicle,affect,operate,as well as,C
"The neocortex is, in evolutionary terms, most recent layer of the brain.",is,terms,most,layer,C
"There are more than eighty-four million specimens in the National Museum of Natural History's collection of biological, geological, archeological, and anthropology treasures.",are,specimens,collection,anthropology,D
"After George Washington married widow Martha Custis, the couple came to resides at Mount Vernon.",After,widow,came,resides,D
"At this stage in their development, rubberized asphalt can hardly be classified as cutting edge.",their,rubberized,hardly,as,A
Rhesus monkeys exhibit patterns of shy similar to those in humans.,exhibit,shy,to,those,B
"In space, with no gravity for muscles to work against, the body becomes weakly.",no,against,the body,weakly,D
"Fort Jefferson, in the Dry Tortugas off the southern tip of Florida, can be reach only by boat or plane.",off,tip,reach,only by,C
"A zoom lens produces an inverted real image, either on the film in a camera and on the light-sensitive tube of a television camera.",A,produces,inverted,and,D
Supersonic flight is flight that is faster the speed of sound.,Supersonic,that,faster,speed of sound,C
The Betataken House Ruins at Navajo National Monument is among the largest and most elaborate cliff dwellings in the country.,is,largest,elaborate,country,A
It is a common observation that liquids will soak through some materials but not through other.,a common,will soak,but not,other,D
"The number of wild horses on Assateague are increasing lately, resulting in overgrazed marsh and dune grasses.",wild horses,are,resulting,overgrazed,B
"The newsreel of Hearst Metronome News, which formed part of every moviegoer's experience in the era before television, offer an unique record of the events of the 1930s.",every,before television,an,events,C
"Unlikely gas sport balloons, hot air balloons do not have nets.",Unlikely,sport,have,nets,A
"Born in Massachusetts in 1852, Albert Farbanks has begun making banjos in Boston in the late 1870s.",Born,has begun,making,the late,B
"Dwight David Eisenhower, military officer and thirty-fourth president of the United States, lived in the White House and of least thirty-seven other residences.",officer,lived,of least,other,C
Methane in wetlands comes from soil bacteria that consumes organic plant matter.,comes,from,consumes,matter,C
Alois Alzheimer made the first observers of the telltale signs of the disease that today bears his name.,observers,telltale signs,bears,his name,A
"Edward MacDowell remembers as the composer of such perennial favorites as ""To a Wild Rose"" and ""To a water Lily"".",remembers,composer,perennial,favorites,A
"Animism is the belief that objects and natural phenomena such as rivers, rocks, and wind are live and have feelings.",belief,phenomena,live,feelings,C
Newtonian physics accounts for the observing orbits of the planets and the moons.,accounts,for,observing,orbits,C
The high demand for resources such as oil has led to an increase in global conflicts over supply.,The high demand,such as oil,to an increase,global conflicts over supply,C
"Space exploration has advanced significantly in the past few decades, allowing humans to send robots to explore distant planets and moons.",Space exploration has advanced,the past few decades,to send robots,planets and moons,C
"The telescope allows astronomers to observe distant objects in space, including stars, planets, and galaxies, that would otherwise be invisible to the naked eye.",The telescope allows astronomers,distant objects in space,"planets, and galaxies",be invisible to the naked eye,C
"The human brain is capable of remarkable feats of memory, creativity, and problem-solving skills, which continue to fascinate scientists.",The human brain,feats of memory,and problem-solving skills,to fascinate scientists,C
"The Amazon rainforest, often referred to as the lungs of the Earth, is home to an incredible diversity of species and plays a vital role in regulating the planet's climate.","The Amazon rainforest, often",as the lungs of the Earth,to an incredible diversity,plays a vital role,D
